Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
feuille mobile a4 80grs 100pages seyes jaune paquet 50 s-film,,papeterie,,pc,1300,1300,9,1,,,2940.jpg,,,,,,,
feuille mobile a4 80grs 100pages seyes vert paquet 50 s-film,,papeterie,,pc,1250,1250,29,3,,,2941.jpg,,,,,,,
feuille mobile 17*22. 200pages 90grs seyes  paquet 100 s-film,,papeterie,,pc,1500,1500,978,98,,,2942.jpg,,,,,,,
cahier pique a4 192pages 70grs q5*5,,papeterie,,pc,1700,1700,5,1,,,2944.jpg,,,,,,,
cahier pique 17*22 32pages 70grs seyes nf04,,papeterie,,pc,200,200,49,5,,,2945.jpg,,,,,,,
cahier pique 24*32 192pages 70grs q5*5,,papeterie,,pc,2100,2100,26,3,,,2946.jpg,,,,,,,
cahier pique 17*22 140pages 70grs seyes,,papeterie,,pc,700,700,156,16,,,2948.jpg,,,,,,,
cahier colle a4 192pages 70grs seyes,,papeterie,,pc,2850,2850,906,91,,,2949.jpg,,,,,,,
cahier colle 17*22 192pages 70grs seyes nf18,,papeterie,,pc,1850,1850,207,21,,,2950.jpg,,,,,,,
cahier pique 24*32 192pages 70grs seyes,,papeterie,,pc,2100,2100,121,13,,,2951.jpg,,,,,,,
cahier colle 24*32 192pages 70grs seyes,,papeterie,,pc,3000,3000,201,21,,,2952.jpg,,,,,,,
cahier pique 17*22 48pages 70grs seyes nf08,,papeterie,,pc,250,250,105,11,,,2953.jpg,,,,,,,
protege cahier 17*22 vert clair,,papeterie,,pc,200,200,1216,122,,,2955.jpg,,,,,,,
protege cahier 17*22 orange,,papeterie,,pc,200,200,1353,136,,,2956.jpg,,,,,,,
protege cahier 17*22 noir,,papeterie,,pc,300,300,127,13,,,2957.jpg,,,,,,,
protege cahier 17*22 bleu clair,,papeterie,,pc,200,200,1595,160,,,2958.jpg,,,,,,,
socle+bloc planning stirpol fume,,papeterie,,pc,23000,23000,4,1,,,2959.jpg,,,,,,,
rouleau plastique 70*200 assortis  b-j-r-v 5-100ãˆme,,papeterie,,pc,1000,1000,4808,481,,,2960.jpg,,,,,,,
rouleau plastique 0.70*2m incolore 5-100ãˆme,,papeterie,,pc,1000,1000,10226,1023,,,2961.jpg,,,,,,,
protege cahier a4 jaune    101310 15,,papeterie,,pc,490,490,7470,747,,,2962.jpg,,,,,,,
protege cahier a4 vert fonce  101347 15,,papeterie,,pc,490,490,3736,374,,,2963.jpg,,,,,,,
carnet repertoire pique 11*17   96pages,,papeterie,,pc,2300,2300,52,6,,,2964.jpg,,,,,,,
feuille mobile a-p 17*22 bleu paquet 50 seyes,,papeterie,,pc,1500,1500,114,12,,,2965.jpg,,,,,,,
feuille mobile a-p 17*22 vert paquet 50 seyes,,papeterie,,pc,1500,1500,155,16,,,2966.jpg,,,,,,,
feuillle mobile a-p 17*22 jaune paquet 50 seyes,,papeterie,,pc,1500,1500,137,14,,,2967.jpg,,,,,,,
craie boite 100 blanc robercolor,,papeterie,,pc,1950,1950,5349,535,,,2968.jpg,,,,,,,
